dia_setmana,hora,Grup_Vehicle,count
3,11,Vianants,1121
3,12,Bicicletes,437
3,12,Equips emergencia,13
3,12,Habitatge,24
3,12,Motocicleta,2906
3,12,Taxis,182
3,12,Transport Comercial,10452
3,12,Transport públic,192
3,12,Vehicle Turisme,24734
3,12,Vehicles especials,35
3,12,Vianants,1328
3,13,Bicicletes,383
3,13,Equips emergencia,9
3,13,Habitatge,17
3,13,Motocicleta,2315
3,13,Taxis,111
3,13,Transport Comercial,6230
3,13,Transport públic,179
3,13,Vehicle Turisme,18698
3,13,Vehicles especials,12
3,13,Vianants,953
3,14,Bicicletes,202
3,14,Equips emergencia,6
3,14,Habitatge,17
3,14,Motocicleta,1810
3,14,Taxis,111
3,14,Transport Comercial,5524
3,14,Transport públic,137
3,14,Vehicle Turisme,15915
3,14,Vehicles especials,9
3,14,Vianants,735
3,15,Bicicletes,385
3,15,Equips emergencia,11
3,15,Habitatge,16
3,15,Motocicleta,2705
3,15,Taxis,156
3,15,Transport Comercial,4725
3,15,Transport públic,92
3,15,Vehicle Turisme,18750
3,15,Vehicles especials,12
3,15,Vianants,677
3,16,Bicicletes,625
3,16,Equips emergencia,11
3,16,Habitatge,14
3,16,Motocicleta,4131
3,16,Taxis,153
3,16,Transport Comercial,7779
3,16,Transport públic,138
3,16,Vehicle Turisme,23232
3,16,Vehicles especials,21
3,16,Vianants,902
3,17,Bicicletes,612
3,17,Equips emergencia,14
3,17,Habitatge,27
3,17,Motocicleta,3593
3,17,Taxis,112
3,17,Transport Comercial,5614
3,17,Transport públic,104
3,17,Vehicle Turisme,20999
3,17,Vehicles especials,15
3,17,Vianants,789
3,18,Bicicletes,505
3,18,Equips emergencia,10
3,18,Habitatge,28
3,18,Motocicleta,2514
3,18,Taxis,61
3,18,Transport Comercial,1806
3,18,Transport públic,90
3,18,Vehicle Turisme,13157
3,18,Vehicles especials,11
3,18,Vianants,476
3,19,Bicicletes,397
3,19,Equips emergencia,12
3,19,Habitatge,28
3,19,Motocicleta,2661
3,19,Taxis,82
3,19,Transport Comercial,2470
3,19,Transport públic,66
3,19,Vehicle Turisme,17210
3,19,Vehicles especials,9
3,19,Vianants,516
3,20,Bicicletes,358
3,20,Equips emergencia,13
3,20,Habitatge,1
3,20,Motocicleta,2247
3,20,Taxis,35
3,20,Transport Comercial,611
3,20,Transport públic,26
3,20,Vehicle Turisme,7139
3,20,Vehicles especials,2
3,20,Vianants,115
3,21,Bicicletes,206
3,21,Equips emergencia,7
3,21,Habitatge,2
3,21,Motocicleta,1504
3,21,Taxis,21
3,21,Transport Comercial,446
3,21,Transport públic,10
3,21,Vehicle Turisme,6232
3,21,Vehicles especials,2
3,21,Vianants,81
3,22,Bicicletes,70
3,22,Equips emergencia,9
3,22,Habitatge,1
3,22,Motocicleta,844
3,22,Taxis,12
3,22,Transport Comercial,362
3,22,Transport públic,15
3,22,Vehicle Turisme,5394
3,22,Vehicles especials,2
3,22,Vianants,30
3,23,Bicicletes,388
3,23,Equips emergencia,2
3,23,Habitatge,1
3,23,Motocicleta,1255
3,23,Taxis,30
3,23,Transport Comercial,361
3,23,Transport públic,7
3,23,Vehicle Turisme,6811
3,23,Vianants,51
4,00,Bicicletes,530
4,00,Equips emergencia,5
4,00,Habitatge,5
4,00,Motocicleta,1565
4,00,Taxis,42
4,00,Transport Comercial,331
4,00,Transport públic,12
4,00,Vehicle Turisme,7113
4,00,Vehicles especials,1
4,00,Vianants,52
4,01,Bicicletes,405
4,01,Equips emergencia,2
4,01,Habitatge,4
4,01,Motocicleta,1287
4,01,Taxis,38
